review_id,source_id,acronym,titre,resume_complet,mon_label,note
30,101166886,DIALOG,"Deciphering Intents of Air traffic controllers,  workLOad assessment and Gaze analysis to enable their efficient and trustworthy collaboration with AI","The DIALOG project aims to improve collaboration between air traffic controllers (ATCOs) and artificial intelligence (AI) systems in air traffic management. It addresses a very ambitious goal of enabling AI members of human-AI teams to anticipate when and what kind of assistance their human teammates need and to respond on that. DIALOG will develop an AI-based digital assistant called Teamwork Assistant that uses speech recognition and understanding of pilot-controller exchanges to infer ATCOs' intent and goals. It also utilizes machine learning-based methods to assess ATCOs' workload and attention in real-time based on voice, physiology, and behavioral data. The actions of the digital assistant are determined based on the ATCOs' current state, attention allocation, traffic situation, and general context. The project will develop prototypes and conduct validation exercises in close collaboration with end-users to assess the performance and usability of the proposed solutions.",,
31,326000,CLEANLE2,Demonstration of  a Decontamination Device Protoype for buisness jets and  Experimental Validation,"This project is to validate a cleaning device capable of clearing out small debris from the leading edges of business jets or airliners, to keep the flow as laminar as possible on the leading edge of the wing. The cleaning concept will be compatible with the surface treatment of the leading edge of commercial aircrafts. Typically this concerns the contamination of leading edges by insect impact.  At first, the system will be designed and a prototype manufactured. In parallel, aerodynamic and stress models will be studied. Then ground experiments including tests in a wind tunnel will be performed, in view of prototype validation.The prototype will be subsequently modified and validated. Conclusions will help for the industrialisation of the cleaning system.The consortium will be led by EPFL, who co-ordinated a preliminary project on  the design of such cleaning devices in the CleanSky call 3  CLEANLE, with several partners for manufacturing, consulting, experiment running and analysis, including a design office SME, and university windtunnel experts.  The project will lead to a test prototype.The present project will push the concepts, that have attained a Research Technology Readiness Level, TRL near to TRL3 (research to prove feasibility), to evolve on the system/subsystem model and prototype demonstrator of a technology demonstration of TRL 6.""""",,
32,807085,ENG GAM 2018,Engine ITD - GAM 2018,"Engines ITD will work towards radical engine architectures and new engine technologies to power the aircraft of the future. The objective is to increase fuel and energy efficiency of the engine and reduce environmental impact, regardless of whether the engine is powering a large airliner or just a small utility aircraft, meaning more thrust while burning less fuel and emitting less CO2, NOx and noise.",,
33,717064,BRIDAS,Brillouin Distributed sensor for Aeronautical Structures,"The proposal is addressed to the development of a prototype for distributed strain measurements in optical fibers for industrial aeronautical contexts: composite manufacturing plants, structural test platforms and airborne conditions. The prototype will be based on stimulated Brillouin scattering (SBS), and will be aimed to the structural health monitoring of composite parts employed in the aeronautical industry. The developed prototype will have performance significantly superior to those offered by commercial SBS-based interrogation units. In particular, the prototype will have the following characteristics: (a) A spatial resolution of 5 mm; (b) A measurement range of 150 m; (c) A total weight less than 4.75 kg; (d) A specific software for each monitoring scenario, providing all relevant data in an effective and accessible way.The developed sensor will implement a Brillouin Optical Frequency-Domain Analysis (BOFDA) configuration, characterized by the fact that measurements are carried out in the frequency domain  The prototype will be assembled with Original Equipment Manufacturer (OEM) components, selected in order to minimize size and weight, in particular by making use of a vector network analyzer (VNA) operating up to 20 GHz. The prototype will be employed in the evaluation of quality and structural health of composite parts for the aeronautical industry, such as complete fuselage, wings, vertical or horizontal tail plane of passenger commercial aircrafts. By measuring the strain along optical fibers embedded into composite parts during their manufacture, damage detection will be possible both in the manufacturing stage and during service life. The developed system will be integrated into one typical industrial application that will be selected with the Topic Manager. At the end of the project, the delivered prototype will be validated based on the research context.",,
34,999905,TE,JTI-Clean Sky 1-Technology Evaluator,"TE: Clean Sky was launched with the goal to bring technology to maturity that could, as a set of solutions, deliver a substantial majority of the ACARE targets for the Environment. These ACARE goals (based on the VISION 2020 paper issued in Year 2000), concern aircraft technologies which are assumed to be available by 2020 for absorption into future product developments. - CO2 emissions reduced by 50% compared to similar and relevant 'Year 2000 air vehicles' - NOX emissions reduced by 80% A halving of perceived noise compared to 2000 level performance (-10dB) - Minimized life cycle impact of aircraft on the environment From the very beginning it was recognized that for successfully monitoring the progress towards the ACARE goals, a transversal evaluation platform in the Clean Sky Programme would be required. The Technology Evaluator was born from this need, and its organisation reflects the interest to pool know-how and simulation/modelling capability that exist across industry, research establishments and academia. Clean Sky, complementing the previous projects and the running activities in FP6-FP7, is a main contributor to the ACARE 2020 targets, with the ambition to push technology maturation up to demonstration level (TRL 6). The internal targets were defined based on the best estimation and forecast of the different stakeholders of the JU, on the most promising technologies to be investigated and matured the appropriate level for exploitation in a future product. Aiming at the global Air Transport System, the aviation market segments were considered for consistent contributions: commercial aircraft in the long range, the short/medium range, the regional (both jet and turboprop separately the rotorcraft sector and the business jets.",,
35,821300,HAIRMATE,Hybrid AIRcraft seating MAnufacturing & TEsting,"HAIRMATE project aims to design and manufacture moulds for manufacturing and testing the next generation aircraft seating obtained in the HAIRD project. Within the HAIRD project a new seating with reduction of Deep Vein Thrombosis (DVT) risk, multi-functionality and simple surfaces for composite manufacturing was designed. The moulds to manufacture the structural parts and the cushion will be manufactured. These moulds will be designed in detail taking into account the composite manufacturing techniques of Sheet Moulding Compound (SMC), Wet Compression Moulding (WCM) and Prepreg Compression Moulding (PCM) comoulded with SMC. If it is needed, the HAIRD seating design will be slightly redesigned to fulfil all the requirements of the moulds. A Life Cycle Assessment (LCA) data collection of materials and processes will be carried out. These data will be used to do an assessment of seating life-cycle to guarantee the new design and manufacturing improvements in terms of sustainability. Moreover, different tests will be performed to define the mechanical and fire safety properties of the materials developed by the Topic Manager (TM) for the manufacturing of the seating. Finally, a full-scale seating will be tested to analyse the structural reliability and to approximate the HAIRD seating design to the industry and thus to the market. Once again, some design and structural calculus loops will be carried out to improve the seating.",,
36,101102003,H2ELIOS,HydrogEn Lightweight & Innovative tank for zerO-emisSion aircraft,"To enable a technologically and economically feasible H2-powered aviation, new integral LH2 tank solutions are required that could serve as part of the airframe main structure and capable of withstanding its respective loads. The H2ELIOS project will develop an innovative and effective lightweight LH2 storage system for aircraft. It will be implemented as demonstrators in two fuselage-like cylinder section with approximately 1.9 m of external diameter and approximately 2.3 m of external length. These demonstrators would be duly supported by component and subsystem ground tests at appropriate scale at project completion (TRL 5 at storage level). The aim is that the concept is ready to be embedded and integrated in a specified aircraft architecture for flight demonstration in later stages. H2ELIOS will provide a feasible and novel low-pressure double-layer composite tank-based system, enabling the tank shape to be either conformal or non-conformal to the profile of the aircraft. Its general effectiveness will be assessed in terms of high GI performance and easiness of integration within the aircraft structure.This concept will be supported by latest evolutions of innovative methods and technologies in terms of multidisciplinary design development, manufacturing processes and means of compliance and shall be demonstrated in operational conditions: first on ground up to TRL5 and then in flight by the end of Clean Aviation Phase 2 clearing a TRL6 maturation gate. Finally, delivery to the market is expected in the 2030-2035 period. In this way this project shall contribute to accomplish the objectives of the European Green Deal regarding decarbonization of the aviation industry.The activities of H2ELIOS will be supported by explicit agreed support of EASA and an External Advisory Board comprising commercial aircraft OEMs, H2 management and cryogenics experts, MRO services, airlines, aircraft system integrators, materials developers and suppliers and airports operation",,
37,865118,GLIMPSE2050,Global Impact Assessment of Regulations and Policies for Sustainable Aviation by 2050,"Cross-positioned in Clean Sky 2 and part of Clean Sky 2 TE, GLIMPSE2050 quantifies the environmental impact at air transport system level up to 2050 of regulations and policies that are currently discussed and potentially introduced until 2040. This impact includes noise and emissions. From this quantification, GLIMPSE2050 provides recommendations to target stakeholders.Through its quantification, GLIMPSE2050 helps to understand which environmental benefits can be achieved in addition to those brought by Clean Sky 2 technologies. This understanding subsequently helps to evaluate to which extent technology diffusion in aviation can reach the ACARE Flightpath 2050 environmental goals.GLIMPSE2050’s concept is twofold: first it sets the assessment scope by a systematic selection of regulations and policies and of target stakeholders; then it sets the quantification process, building on proven and successfully applied approaches. For every year 2020/2025/2030/2035/2040/2045/2050, this process compares the environmental performance of two scenarios: one is a projection of the air transport system in that year based on autonomous economic, demographical and technological developments but without the regulations and policies; the other is a projection of the air transport system in the same year, but with the regulations and policies introduced. In these scenarios, Clean Sky 2 technologies are considered an autonomous technological development.GLIMPSE2050 expects to impact Clean Sky 2 TE (by complementing the other assessments), Clean Sky 2 JU and Clean Sky 2 Members (by monitoring Clean Sky 2 achievements in a broader perspective), EC and EU Member States (by assessing the level of success towards the ACARE Flightpath 2050 goals), aviation sector (by providing capabilities to assess effects on business development), research community (by indicating opportunities for further research), and society (by displaying effort and progress in sustainable aviation).",,
38,820997,ANACO,Advance Nacelle Aerodynamic Optimisation,"ANACO will facilitate the multi-objective optimisation of short and slim nacelle design for the next generation of ultra-high bypass ratio (UHBPR) aero engines. UHBPR engine architectures offer increased propulsive efficiency through operation at reduced specific thrust, enabled by increased engine diameter. This poses special challenges, both in terms of the aerodynamic drag of the isolated nacelle and the potential for interference effects which may be imposed by a close-coupled installation on the aircraft wing.ANACO will initially generate a population of short and slim nacelle designs which seek to minimise overall mission, rather than single design point, drag. These designs will be optimised using the latest numerical methods prior to down-select for isolated, high speed wind tunnel test enabling validation of the design tools applied. As part of this testing, experimental data quality will be improved by the enhancement of existing, and the development and application of novel, measurement techniques. The feasibility of simulating the installed wing pressure field during wind tunnel test will be assessed. The success of the optimised, down-selected geometries will also be investigated by simulation in an installed situation enabling both the overall performance improvements of the integrated wing and nacelle and the individual contributions to be understood. Finally, ANACO will deliver design rules and guidelines for future application in the design of novel, short and slim nacelles.",,
39,101007712,H2Free,Investigation and modelling of Hydrogen effusion in electrochemically plated ultra-high-strength-steels used for landing gear structures,"One drawback associated to Ultra High Strength Steels (UHSS) coated components is the risk of hydrogen embrittlement (HE) and delayed hydrogen fracture of the part. This problem has been tackled by developing LHE (Low HE) processes and by applying a degassing stage. The standard degassing process is applied equally to the components regardless UHSS or coating composition/morphology. However, it is known that the nature and structure of both the base material and the coating have a great influence in the hydrogen intake and degassing efficiency. Thus, there is much room for improvement if a better understanding of the underlying phenomena of electrochemically deposited corrosion protection layers of UHSS parts on hydrogen degassing is achieved.As there are no experimental techniques to measure hydrogen content or HE in a specific part of a real component at an industrial environment, modelling and simulation approaches, developed with a strong experimental base, are expected to provide the keys to process improvement.The main objective of the H2Free project is to develop a practical guideline for hydrogen degassing of UHS-steels plated with LHE-Zn-Ni, with the aim of saving production costs and allowing Zn-Ni to overtake Cd coatings. The guideline will contain simple rules/formulas to provide criteria to design the degassing process, based on experimental data and on modelling to predict the hydrogen effusion in coated UHSS, the remaining hydrogen concentration  in the components and so the probability of hydrogen embrittlement. With its digital approach, H2Free will accelerate materials modelling uptake into European industrial decision making and link all partners to central European materials modelling platforms and activities.The project brings together a strong consortium composed of 4 outstanding research centres and 2 SMEs with complementary profiles and large expertise, covering the special skills, capabilities and certification expected for the project.",,
40,785539,CIDAR,Combustion species Imaging Diagnostics for Aero-engine Research,"The CIDAR project is the result of a Consortium formed by Academic Parties (Manchester, Strathclyde and Edinburgh Universities), a Research and Development Organization (INTA) and private companies (DAS and OptoSci). Therefore, CIDAR builds upon the expertise of the UK's and Spain’s world-leading groups in fibre-lasers, laser based gas and particulate detection, opto-electronics, and chemical species tomography (CST), allied to its industrial strengths in aero-engine manufacture and aviation fuel technology.The CIDAR project aims to establish a world-leading capability in the non-intrusive measurement and 2D imaging of nvPM/soot and CO2 concentrations in aero-engine exhaust. Non-intrusive planar tomographic measurement of CO2 will be based on calibration-free Fibre-Laser Absorption Spectroscopy and soot measurements will be based on laser-induced incandescence (LII).Validation of both imaging technologies will be carried out at the INTA Turbojet Test Centre using large civil turbofan engines, providing data analysis and measurement uncertainty of the current state of the art measurement systems.The measurement system will then be developed to a maturity level of TRL6 with a clearly identified route to commercialisation.",,
41,632456,WITTINESS,WindTunnel Tests on an Innovative regional A/C for Noise assessment,"WITTINESS adresses the acoustic measurement campaign of previously (in a different CfP) designed WT-model, equipped with engine-demonstrators. In order to tackle this project a consortium including a company experienced in design, structural mechanics and aerodynamics, a SME, a manufacturer and a university with a strong focus on acoustic measurements propose an approach to use the previously designed model, introduce necessary design changes, perform the necessary tests and postprocess the results in terms of acoustic behaviour.The consortium is build up as follows:- IBK is a small company coordinating the project and performing design work in the project. IBK is also leading the consortium building the WT in the previous project ESICAPIA.- REVOIND is a small italian company specialised in manufacturing complex parts. Revoind´s main task in this project is to manufacture the model.- University of Rome, Prof. Camussi, bringt acoustic knowledge into the consortium, which is needed for preparing the acoustic tests and post-processing of the acoustic tests.The project consists of three technical work-packages plus one management work-package. The three technical WPs tackle planning and realisation of possible design-changes, dynamic characterization and experimental tests (including post-processing). A cruicial point for the quality of the results is the choice of the wind-tunnel. Possible wind-tunnels in europe have been reviewed by the consortium and the two possible solutions for this model (DNW and RUAG) have been asked for quotes. Although the previous model is build for an aerodynamical measurement campaign in one of these tunnels in general a test in either of them is feasible. There are pros and cons for each solution, finalising the choise of the wind-tunnel is therefore the first point to tackle in the project.",,
42,785520,NATHENA,New Additive manufacTuring Heat ExchaNger for Aeronautic,"New Additive manufacTuring Heat ExchaNger for AeronauticToday’s technologies and processes dedicated to the exchangers manufacturing hamper progress on higher performances (mechanical assies of repetitive and regular unitary components like folded sheet metal and/or tubing mostly welded).Traditional manufacturing entails limit for the customization of the inner structure, which have a direct impact on the thermal behavior of the exchanger core.Design and manufacture a complex core structure accordingly and well adapted to the inner thermal phenomenon seems to be a promising way to increase performances.Accordingly, NATHENA project aims at developing new complex inner structures for heat exchangers.NATHENA project will focus on the design development of a complex compact heat exchanger that best addresses thermal performance, made by additive manufacturing.These new compact air-air heat exchangers developed in NATHENA project will provide an efficient thermal management system dedicated to hybrid propulsion system.Two types of material will be studied regarding heat exchanger use: Aluminium for low temperature range and Inconel for high temperature range.The set objectives (see targets below) will be reached using calculation and multi-physical simulation (thermo-mechanical-fluidic) applied to evolutionary latticed and thin-walled structures combined optionally with fins to form a matrix of complex structures.Predictive models and/or laws will be developed for pressure and temperature drop.Topological and parametric optimization will be carried out in an iterative way towards the most efficient model.Through sample tests and final element method, calculation correlations will be carried out to ensure the relevance and validity of the basic structural choices as well as their combinations.Targets:Delta temperature: 200°C to 400°CFlow: 0.01kg/s to 2kg/sPower: 0.5 to 500kWReynolds number: 400 to 10000Pressure drop: 100mBar maxSize: up to 500x300x300mm",,
43,831815,ACCENTO,ACCENTO (Active Clearence Contol dEsigN and characTerizatiOn). Advanced investigations on different Low Pressure Turbine Active Clearance Control (LPTACC) system by means of CFD and experiments.,"This proposal refers to the Clean Sky 2 topic JTI-CS2-2018-CfP08-ENG-01-36 “Optimizing impingement cooling”. The objective of ACCENTO (Active Clearence Contol dEsigN and characTerizatiOn) project is to carry out a series of advanced investigations on different Low Pressure Turbine Active Clearance Control (LPTACC) system pipes and target plates. The aim is to develop design/verification procedures and models to confidently predict the impinging system aero-thermal behaviour. This goal will be pursued by means of dedicated experimental tests and numerical simulations. The great ambition of the ACCENTO program is to design a modular test rig able to accommodate long ACC pipes (0.8 m to 1.5 m) which will be operated in engine representative conditions. The rig will be able to provide reliable data for impingement cooling heat transfer characterization in a wide range of operating points. The radiative heat transfer impact on the system performance will be also accounted for. The rig will provide high quality data in conjunction with controlled operating conditions to validate CFD tools for the heat transfer and, more in general, for the ACC system characterization. The expected outcomes of the project are the design, the commissioning and the testing of a modular rig for ACC heat transfer process characterization, the validation of CFD methodologies for such systems analysis and the development of design correlations for both the impingement holes discharge coefficient and for the jets Nusselt number. Moreover, thanks to the modularity of the developed rig, future and successive tests and analyses will be possible.",,
44,278415,HELIDES,Helicopter Drag Prediction using Detached-Eddy Simulation,"Reduction of aerodynamic drag is central to the ACARE 2020 goal of reducing fuel consumption in air transportation. For rotorcraft, the majority of the drag occurs due to extensive flow separation around the fuselage and rotor hub. Such highly unsteady flows present significant challenges for computational fluid dynamics (CFD) techniques in terms of solution fidelity and computational expense.However, a new family of hybrid RANS/LES techniques addresses this conflict by mixing pure modelling (RANS) and partial resolution (LES) of the turbulent motion to provide an optimal tradeoff between solution fidelity and computational cost. Of these, the well-established detached-eddy simulation (DES) method has been selected for the HELIDES simulations due to its high maturity and inherent suitability. Through participation in numerous EU projects (e.g. FLOMANIA, DESider, ATAAC), the consortium has developed a very high level of expertise with the development and application of these methods, including to helicopter fuselage simulation. The HELIDES consortium has furthermore played a central role in the implementation and validation of cutting-edge DES methods in an efficient, incompressible, unstructured CFD solver that can capture complex geometries with rotating components. Furthermore, novel analysis techniques for the quantification of the random error in statistical quantities provides a pragmatic means to manage the significant problem of finite simulated time samples.With these well-suited tools and expertise, together with access to very large computing resources, the HELIDES consortium considers itself ideally equipped to perform the demanding high-fidelity simulations specified by the Call.""""",,
45,641592,HELI-COMFORT,Adaptable power density coating for energy efficient heating of cockpit and cabin,"The objective of HELI-COMFORT is to advance the technology readiness level of an innovative, purpose made, prototypic electrical heating system to a TRL 4 or higher level. After laboratory scale tests on smaller samples and an CFD based numerical simulation of such heating elements in a helicopter interior, this heating system will be integrated in an 1:1 helicopter mock-up and investigated under large laboratory environmental conditions in order to prove the ability to provide an adaptable power density coating for energy efficient heating of cockpit and cabin with reduced/eliminated need of bleed air from turbines.",,
46,699247,R-WAKE,Wake Vortex simulation and analysis to enhance en-route separation management in Europe,This project (R-Wake) aims at developing a simulation framework to assess the risk and hazards of potential wake vortex encounters for the en-route phase of flight.,,
47,783198,EMPHASIS,EMPowering Heterogeneous Aviation through cellular SIgnalS,"The key objective of the project EMPHASIS (EMPowering Heterogenuous Aviation through cellular SIgnalS) is to increase safety, reliability and interoperability of General Aviation/Rotorcrafts (GA/R) operations both with commercial aviation and with emerging drones operations. These aspects are foreseen as critical elements to secure and improve airspace access for GA/R users in future airspace environment and improve operational safety of their operations.  This objective is planned to be achieved through affordable CNS capabilities tailored for GA/R users where the envisioned path to reduce avionics costs is driven by:1.Deep analysis of Communication, Navigation and Surveillance system requirements (including reliability and integrity) based on the specificities of GA/R operations. The analysis should allow to identify requirements critical for operational safety and potentially lower requirements with limited applicability to GA/R operations.2.Optimal combining of ground and airborne technologies enabled through advanced communication means.3.Innovative approach to certification allowing to achieve overall safety objectives with reduced impact on the cost.The most promising technologies (combining both on-board and ground elements) will be developed up to the proof-of-concept maturity level.",,
48,266073,ARISTOTEL,AIRCRAFT and ROTORCRAFT PILOT COUPLINGS – TOOLS AND TECHNIQUES FOR ALLEVIATION and DETECTION,"The ARISTOTEL project challenge is ensuring aircraft safety and aims to reduce the aircraft and rotorcraft accidents caused by a particularly unfavourable category of phenomena: aircraft-pilot-couplings and rotorcraft-pilot-couplings (A/RPCs). Generally, A/RPCs are defined as “inadvertent, sustained aircraft oscillations which are a consequence of an abnormal joint enterprise between the aircraft and the pilot”. Recent experiences show that modern designs are being confronted in an increasing degree with dangerous A/RPCs. The reason for this is that modern aircraft feature a significant level of automation in their flight-control-systems (FCS). FCS is generally intended to relieve pilot workload and allow operations in degraded weather and visibility conditions. Especially in the modern rotorcraft, there seem to be embedded tendencies predisposing the FCS system towards dangerous RPCs. As the level of automation is likely to increase in future designs, extending to smaller aircraft and to different kinds of operation, the consequences of the pilot ‘fighting’ the FCS system and inducing A/RPCs needs to be eradicated. It is the goal of this project to develop the design tools and techniques needed to detect and alleviate the A/RPC problems. End products of the project will be: 1) Advanced vehicle-pilot-FCS simulation models for “rigid body” and aeroservoelastic A/RPC analysis; 2) A/RPC design guidelines and criteria; 3) protocols and guidelines for A/RPC flight simulator training. All results will be directly useable by the aerospace industry in the design process for improving flight safety. The project will contribute in this sense to: 1) the minimization of the factors that lead to pilot loss of control resulting in increased enhancement of the European aircraft safety and 2) will strengthen the European Aeronautics Industry competitiveness in their time- and cost-effective design tools.",,
49,101256789,UNIFIED,Ultra Novel and Innovative Fully Integrated Engine Demonstrations,"The journey to climate-neutral aviation will require the power density of an ultra-efficient gas turbine combined with SAF, all highly integrated into an advanced aircraft platform for the SMR aircraft category. As the Clean Aviation SRIA states, this SMR aircraft category generates approx. 50% of the current share of air transport emissions, demonstrating the importance of the focus that is required on propulsion technology. The UNIFIED project will develop and demonstrate UltraFan®, a high performance scalable UHBR ducted turbofan to a TRL5 maturity level, targeting a 20% fuel reduction for SMR aircraft anticipating 2035 EIS. This TRL5 will be achieved via the project enabling technologies and enhancing design to deliver a full engine ground test at SMR thrust class.UNIFIED will importantly progress readiness for  UltraFan Flight Test Demonstration including flight test vehicle design, flight test instrumentation and engine flight clearance readiness. Within this preparation, testing of the UltraFan Key Architecture will be conducted to generate evidence for Flight clearance.  In parallel to the focus on demonstration and flight test preparation UNIFIED will create strong foundations for EIS.  The consortium looks forward to working with EASA, progressing the CRL of the UltraFan architecture and technologies.  Also, engagement with Lufthansa Technik will provide strong insight on the MRO aspects that will be critical to the successful deployment of UltraFan into the SMR sector. The activities of UNIFIED, led by Rolls-Royce, will bring airframer, suppliers, academics and research centres all strongly integrated within the UltraFan Programme.  Synergies will be leveraged with the comprehensive national and regional programmes across the consortium that enable technology maturity at all levels. All with the objective to demonstrating that UltraFan is the most capable and credible engine architecture solution to meet SMR requirements and readiness for EIS 2035.",,
50,323047,CROP,Cycloidal Rotor Optimized for Propulsion,"The CROP project introduces an innovative propulsion system for aircrafts based on the cycloidal rotor concept, using an integrated approach that includes the electric drive train, airframe integration and an environmental friendly energy source.The CROP system is supported on a multiphysics approach:1. The high thrust is obtained by unsteady-based cycloidal rotor operation;2. The development of low-weight electric power drives for the system;3. Airframe re-design to accomplish optimum integration of the cycloidal propulsor;4. Environmental friendly energy source based on hydrogen and photovoltaic cells.The strengths of the CROP concept are:- High thrust levels: by using unsteady airflows- Low weight: using an integrated design approach between airframe and cycloidal propulsor- Environmental friendly: because it is based on green energy power sources.The revolutionary CROP propulsion concept will introduce new air-vehicle concepts, overcoming traditional limitation on short take-off and landing, including hovering capability.",,
51,101286387,JARVIS-CONNECT,Just A Rather Very Intelligent and Connected System,"Aviation is entering an era of profound transformation, driven by the urgent need for safer, greener, and more efficient air traffic management (ATM). At the heart of Europe’s vision stands Trajectory Based Operations (TBO), a cornerstone of the European ATM Master Plan that will enable secured and timely exchange of aircraft trajectories among all actors, to support collaborative, data-driven decision-making. Early deployments are expected by 2035, targeting optimized flight profiles, reduced emissions, lower costs, and increased capacity. Yet this shift demands more than new procedures, it requires a digital revolution capable of managing unprecedented complexity as traffic grows and autonomous systems join human-operated fleets. JARVIS-CONNECT, led by Collins Aerospace, answers this challenge by accelerating the transition toward highly automated, AI-enabled ATM. Building on the achievements of the JARVIS project, JARVIS-CONNECT will mature and integrate digital assistants for pilots and controllers to TRL6, creating trusted human-machine teaming in TBO environments. The ambition is to automate collaboration between air and ground through a collaborative digital AI-enabled system that ensures safety and performance in complex decision-making. Two solutions will be validated in high-fidelity environments: (1) an AI-based digital assistant that supports pilots in complex TBO scenarios, and (2) an intelligent voice-communication system that enhances pilot/air traffic controllers exchanges. By 2029, JARVIS-CONNECT will validate how trusted AI and digital assistants can transform TBO from concept to reality, setting the stage for scalable automation, sustainable operations, and a new era of European aviation leadership. This is not just research: it is the blueprint for the future sky.",,
52,101114748,NETWORK TBO,Network Trajectory Based Operations,"The NETWORK Trajectory based operations (NETWORK TBO) project proposes to validate TBO SESAR Solutions covers all aspects of Trajectory management processes involving – but not limited to - Network actors. It covers both planning and execution phases. The proposed SESAR Solutions, with an indication of the Technology Readiness Levels (with the associated EOCVM level) at the end of the project, are:* Solution #1: TBO Planning and Impact on Execution. Taking as baseline FF-ICE/1 implementation in progress, this solution will develop focusing on the planning phase and the transition to execution including the EPP data improvement. (Target = TRL6 (V3)).* Solution NETWORK TBO-2: Strategic trajectory revision in execution. This solution will address trajectory management during the (strategic) execution phase, including a contribution to the development of the ICAO’s FF-ICE 2 TBO concept. (Target = TRL6 (V3)).* Solution NETWORK TBO-3: Improve both ATC and network processes through synchronization of network and local trajectories. This solution will aim in particular at improving information exchanges between the Network Manager and ANSPs in order to enable a reference Network 4D trajectory supporting coordination processes. (Target = TRL6 (V3)).The NETWORK TBO project consortium - with EUROCONTROL as the project coordinator, and with steering from the project management board and the SJU - brings together 9 air navigation service providers, 2 airspace users, 8 airborne and ground industry partners, 2 research establishments. The main 'design', 'development & validation', and 'data pack and maturity gate' phases are planned throughout the second half of 2023, 2024, 2025 and the first half of 2026.The NETWORK TBO IR project will be executed in strong coordination with European initiatives and projects related to TBO implementation as well as the ATMRPP ICAO working group ensuring complementary and maximising the R&D outputs towards implementation and standardisation.""""",,
53,307612,BirdStrike,Investigation of Bird Strike criteria for Natural Laminar Flow wings,"The BirdStrike project aims to establish a validated bird strike analysis capability, which enables the SFWA partners to simulate bird impact on a CFRP leading edge for a NLF wing. This will be achieved by setting up a combined program of test and analysis to determine the extent of damage and criteria to be applied to analyses of leading edge panels for NLF wings.The main scientific and technical work comprises six main research objectives in agreement to the present Call for Proposals (CfP) topic:1)Analysis of bird strikes on flat and representative curved panels at various angles of impact, using an existing bird impact model that will be provided by the SFWA Partners.2)Design and analysis of a supporting frame for bird-strike impact tests on flat and representative curved panels.3)Manufacturing of an agreed number of flat and representative curved panels that include supporting stringers, sparcaps or other structural features.4)Completion of impact tests at various angles.5)Validation of analyses and numerical models.6)Delivery of a tool that can predict the extent of damage in a representative Composite LE geometry.",,
54,632556,RIBES,Radial basis functions at fluid Interface Boundaries to Envelope flow results for advanced Structural analysis,"In the framework of Clean Sky2, Green Regional Aircraft - GRA - will deliver low-weight aircraft using smart structures. With the aim of mitigating environmental impact through a substantial reduction of pollutant emissions and fuel consumption, a reliable numerical methodology is required to accurately optimise the weight. The design process implies using of CFD and FEM structural models. Then the object of the Area-01 - Low weight configurations requires, in particular, the development and validation of methodologies and software tools for the implementation of accurate transfer of loads between numerical models, to guarantee a safer design workflow that allows a reduction of uncertainties, gaining the goal of weight reduction. This problem poses a technological challenge especially for numerical models of complex aerospace structures where flow data exchange between non conformal CFD and FEM meshes, has to be performed on huge calculation models (several millions cells).The research project proposes an innovative approach for loads mapping based on Radial Basis Functions (RBF) theory and RIBES software implementation. A technology previously developed in the field of mesh morphing (RBF Morph™) capable to deal with large dataset (millions of points) will be used to enable an accurate mapping. The meshless nature of the method facilitates all the complex tasks needed to properly exchange information between meshes. The effectiveness of the approach will be demonstrated on an aeronautic wing structure by means of numerical and experimental checks and by a quantitative estimation of weight reduction obtained using the optimization module included in the RIBES application.",,
55,999907,GRC,JTI-Clean Sky 1-Green Rotocraft -Integrated Technology Demonstrator,"GRC - Green Rotorcraft: The Green Rotorcraft ITD gathers and structures all activities concerning the integration of technologies and the demonstration on rotorcraft platforms, supported by activities performed within the Eco-Design ITD, the Sustainable and Green Engines ITD, the Systems for Green Operations ITD and the Technology Evaluator. It combines seven domains aiming at reducing the environmental footprint by reducing emissions and halving perceived noise for the next helicopter generation. The main activities for the seven domains of the GRC ITD are: GRC1 - Innovative rotor blades, GRC2 - Reduced drag of airframe and dynamic systems, GRC3 - Integration of innovative electrical systems, GRC4 - Installation of a High compression engine on a light helicopter, GRC5 - Environment-friendly flight paths, GRC6 - EcoDesign Rotorcraft Demonstrators, GRC7 - Technology Evaluator for Rotorcraft.",,
56,738114,SMART-LAYUP,Development of innovative automated fibre placement machine for composite fuselage manufacturing with high performance hybrid materials,"SMART-LAYUP activities described in the present proposal will contribute to develop and validate an advanced process of hybrid materials automated lay-up for manufacturing of regional aircraft composite fuselage which allows a significant reduction of the overall production costs and manufacturing flow. After a developmental phase to be performed at MTORRES site, the innovative process and related machine will be validated and costs assessed through the execution of dedicated lay-up tests and fabrication of fuselage demonstrators at Topic Manager plant.",,
57,807081,SYS GAM 2018,Systems ITD,"The Systems ITD will develop and build highly integrated, high TRL demonstrators in major areas such as power management, cockpit, wing, landing gear, to address the needs of future generation aircraft in terms of maturation, demonstration and Innovation.",,
